Individual	Sample	Timepoint	Filename_R1	Filename_R2
APJI	APJI-D-42_S51_L001	D-42	APJI-D-42_S51_L001_R1_001.fastq.gz	APJI-D-42_S51_L001_R2_001.fastq.gz
APJI	APJI-D-49_S50_L001	D-49	APJI-D-49_S50_L001_R1_001.fastq.gz	APJI-D-49_S50_L001_R2_001.fastq.gz
APJI	APJI-D-53_S49_L001	D-53	APJI-D-53_S49_L001_R1_001.fastq.gz	APJI-D-53_S49_L001_R2_001.fastq.gz
APJI	APJI-D-54_S48_L001	D-54	APJI-D-54_S48_L001_R1_001.fastq.gz	APJI-D-54_S48_L001_R2_001.fastq.gz
APJI	APJI-D-55_S47_L001	D-55	APJI-D-55_S47_L001_R1_001.fastq.gz	APJI-D-55_S47_L001_R2_001.fastq.gz
APJI	APJI-D-56_S46_L001	D-56	APJI-D-56_S46_L001_R1_001.fastq.gz	APJI-D-56_S46_L001_R2_001.fastq.gz
APJI	APJI-D10_S54_L001	D10	APJI-D10_S54_L001_R1_001.fastq.gz	APJI-D10_S54_L001_R2_001.fastq.gz
APJI	APJI-D14_S53_L001	D14	APJI-D14_S53_L001_R1_001.fastq.gz	APJI-D14_S53_L001_R2_001.fastq.gz
APJI	APJI-D21_S52_L001	D21	APJI-D21_S52_L001_R1_001.fastq.gz	APJI-D21_S52_L001_R2_001.fastq.gz
APJI	APJI-D7_S45_L001	D7	APJI-D7_S45_L001_R1_001.fastq.gz	APJI-D7_S45_L001_R2_001.fastq.gz
APJI	APJI-D8_S44_L001	D8	APJI-D8_S44_L001_R1_001.fastq.gz	APJI-D8_S44_L001_R2_001.fastq.gz
APJI	APJI-D9_S43_L001	D9	APJI-D9_S43_L001_R1_001.fastq.gz	APJI-D9_S43_L001_R2_001.fastq.gz
IFLH	IFLH-D-42_S40_L001	D-42	IFLH-D-42_S40_L001_R1_001.fastq.gz	IFLH-D-42_S40_L001_R2_001.fastq.gz
IFLH	IFLH-D-49_S39_L001	D-49	IFLH-D-49_S39_L001_R1_001.fastq.gz	IFLH-D-49_S39_L001_R2_001.fastq.gz
IFLH	IFLH-D-53_S38_L001	D-53	IFLH-D-53_S38_L001_R1_001.fastq.gz	IFLH-D-53_S38_L001_R2_001.fastq.gz
IFLH	IFLH-D-54_S37_L001	D-54	IFLH-D-54_S37_L001_R1_001.fastq.gz	IFLH-D-54_S37_L001_R2_001.fastq.gz
IFLH	IFLH-D-55_S36_L001	D-55	IFLH-D-55_S36_L001_R1_001.fastq.gz	IFLH-D-55_S36_L001_R2_001.fastq.gz
IFLH	IFLH-D-56_S35_L001	D-56	IFLH-D-56_S35_L001_R1_001.fastq.gz	IFLH-D-56_S35_L001_R2_001.fastq.gz
IFLH	IFLH-D10_S42_L001	D10	IFLH-D10_S42_L001_R1_001.fastq.gz	IFLH-D10_S42_L001_R2_001.fastq.gz
IFLH	IFLH-D21_S41_L001	D21	IFLH-D21_S41_L001_R1_001.fastq.gz	IFLH-D21_S41_L001_R2_001.fastq.gz
IFLH	IFLH-D7_S34_L001	D7	IFLH-D7_S34_L001_R1_001.fastq.gz	IFLH-D7_S34_L001_R2_001.fastq.gz
IFLH	IFLH-D8_S33_L001	D8	IFLH-D8_S33_L001_R1_001.fastq.gz	IFLH-D8_S33_L001_R2_001.fastq.gz
IFLH	IFLH-D9_S26_L004	D9	IFLH-D9_S26_L004_R1_001.fastq.gz	IFLH-D9_S26_L004_R2_001.fastq.gz
JDKJ	JDKJ-D-42_S29_L001	D-42	JDKJ-D-42_S29_L001_R1_001.fastq.gz	JDKJ-D-42_S29_L001_R2_001.fastq.gz
JDKJ	JDKJ-D-49_S28_L001	D-49	JDKJ-D-49_S28_L001_R1_001.fastq.gz	JDKJ-D-49_S28_L001_R2_001.fastq.gz
JDKJ	JDKJ-D-53_S27_L001	D-53	JDKJ-D-53_S27_L001_R1_001.fastq.gz	JDKJ-D-53_S27_L001_R2_001.fastq.gz
JDKJ	JDKJ-D-54_S26_L001	D-54	JDKJ-D-54_S26_L001_R1_001.fastq.gz	JDKJ-D-54_S26_L001_R2_001.fastq.gz
JDKJ	JDKJ-D-55_S25_L001	D-55	JDKJ-D-55_S25_L001_R1_001.fastq.gz	JDKJ-D-55_S25_L001_R2_001.fastq.gz
JDKJ	JDKJ-D-56_S24_L001	D-56	JDKJ-D-56_S24_L001_R1_001.fastq.gz	JDKJ-D-56_S24_L001_R2_001.fastq.gz
JDKJ	JDKJ-D10_S32_L001	D10	JDKJ-D10_S32_L001_R1_001.fastq.gz	JDKJ-D10_S32_L001_R2_001.fastq.gz
JDKJ	JDKJ-D14_S31_L001	D14	JDKJ-D14_S31_L001_R1_001.fastq.gz	JDKJ-D14_S31_L001_R2_001.fastq.gz
JDKJ	JDKJ-D21_S30_L001	D21	JDKJ-D21_S30_L001_R1_001.fastq.gz	JDKJ-D21_S30_L001_R2_001.fastq.gz
JDKJ	JDKJ-D7_S23_L001	D7	JDKJ-D7_S23_L001_R1_001.fastq.gz	JDKJ-D7_S23_L001_R2_001.fastq.gz
JDKJ	JDKJ-D8_S22_L001	D8	JDKJ-D8_S22_L001_R1_001.fastq.gz	JDKJ-D8_S22_L001_R2_001.fastq.gz
JDKJ	JDKJ-D9_S21_L001	D9_	JDKJ-D9_S21_L001_R1_001.fastq.gz	JDKJ-D9_S21_L001_R2_001.fastq.gz
JKZP	JKZP-D-42_S17_L001	D-42	JKZP-D-42_S17_L001_R1_001.fastq.gz	JKZP-D-42_S17_L001_R2_001.fastq.gz
JKZP	JKZP-D-49_S16_L001	D-49	JKZP-D-49_S16_L001_R1_001.fastq.gz	JKZP-D-49_S16_L001_R2_001.fastq.gz
JKZP	JKZP-D-53_S15_L001	D-53	JKZP-D-53_S15_L001_R1_001.fastq.gz	JKZP-D-53_S15_L001_R2_001.fastq.gz
JKZP	JKZP-D-54_S14_L001	D-54	JKZP-D-54_S14_L001_R1_001.fastq.gz	JKZP-D-54_S14_L001_R2_001.fastq.gz
JKZP	JKZP-D-55_S13_L001	D-55	JKZP-D-55_S13_L001_R1_001.fastq.gz	JKZP-D-55_S13_L001_R2_001.fastq.gz
JKZP	JKZP-D-56_S12_L001	D-56	JKZP-D-56_S12_L001_R1_001.fastq.gz	JKZP-D-56_S12_L001_R2_001.fastq.gz
JKZP	JKZP-D10_S20_L001	D10	JKZP-D10_S20_L001_R1_001.fastq.gz	JKZP-D10_S20_L001_R2_001.fastq.gz
JKZP	JKZP-D14_S19_L001	D14	JKZP-D14_S19_L001_R1_001.fastq.gz	JKZP-D14_S19_L001_R2_001.fastq.gz
JKZP	JKZP-D21_S18_L001	D21	JKZP-D21_S18_L001_R1_001.fastq.gz	JKZP-D21_S18_L001_R2_001.fastq.gz
JKZP	JKZP-D7_S11_L001	D7	JKZP-D7_S11_L001_R1_001.fastq.gz	JKZP-D7_S11_L001_R2_001.fastq.gz
JKZP	JKZP-D8_S10_L001	D8	JKZP-D8_S10_L001_R1_001.fastq.gz	JKZP-D8_S10_L001_R2_001.fastq.gz
JKZP	JKZP-D9_S9_L001	D9	JKZP-D9_S9_L001_R1_001.fastq.gz	JKZP-D9_S9_L001_R2_001.fastq.gz
KVQS	KVQS-D-42_S8_L001	D-42	KVQS-D-42_S8_L001_R1_001.fastq.gz	KVQS-D-42_S8_L001_R2_001.fastq.gz
KVQS	KVQS-D-49_S7_L001	D-49	KVQS-D-49_S7_L001_R1_001.fastq.gz	KVQS-D-49_S7_L001_R2_001.fastq.gz
KVQS	KVQS-D-53_S6_L001	D-53	KVQS-D-53_S6_L001_R1_001.fastq.gz	KVQS-D-53_S6_L001_R2_001.fastq.gz
KVQS	KVQS-D-54_S5_L001	D-54	KVQS-D-54_S5_L001_R1_001.fastq.gz	KVQS-D-54_S5_L001_R2_001.fastq.gz
KVQS	KVQS-D-55_S4_L001	D-55	KVQS-D-55_S4_L001_R1_001.fastq.gz	KVQS-D-55_S4_L001_R2_001.fastq.gz
KVQS	KVQS-D-56_S3_L001	D-56	KVQS-D-56_S3_L001_R1_001.fastq.gz	KVQS-D-56_S3_L001_R2_001.fastq.gz
KVQS	KVQS-D10_S37_L002	D10	KVQS-D10_S37_L002_R1_001.fastq.gz	KVQS-D10_S37_L002_R2_001.fastq.gz
KVQS	KVQS-D14_S2_L003	D14	KVQS-D14_S2_L003_R1_001.fastq.gz	KVQS-D14_S2_L003_R2_001.fastq.gz
KVQS	KVQS-D21_S1_L003	D21	KVQS-D21_S1_L003_R1_001.fastq.gz	KVQS-D21_S1_L003_R2_001.fastq.gz
KVQS	KVQS-D7_S2_L001	D7	KVQS-D7_S2_L001_R1_001.fastq.gz	KVQS-D7_S2_L001_R2_001.fastq.gz
KVQS	KVQS-D8_S36_L002	D8	KVQS-D8_S36_L002_R1_001.fastq.gz	KVQS-D8_S36_L002_R2_001.fastq.gz
KVQS	KVQS-D9_S1_L001	D9	KVQS-D9_S1_L001_R1_001.fastq.gz	KVQS-D9_S1_L001_R2_001.fastq.gz
NKSC	NKSC-D-42_S32_L002	D-42	NKSC-D-42_S32_L002_R1_001.fastq.gz	NKSC-D-42_S32_L002_R2_001.fastq.gz
NKSC	NKSC-D-49_S31_L002	D-49	NKSC-D-49_S31_L002_R1_001.fastq.gz	NKSC-D-49_S31_L002_R2_001.fastq.gz
NKSC	NKSC-D-53_S30_L002	D-53	NKSC-D-53_S30_L002_R1_001.fastq.gz	NKSC-D-53_S30_L002_R2_001.fastq.gz
NKSC	NKSC-D-54_S29_L002	D-54	NKSC-D-54_S29_L002_R1_001.fastq.gz	NKSC-D-54_S29_L002_R2_001.fastq.gz
NKSC	NKSC-D-55_S28_L002	D-55	NKSC-D-55_S28_L002_R1_001.fastq.gz	NKSC-D-55_S28_L002_R2_001.fastq.gz
NKSC	NKSC-D-56_S27_L002	D-56	NKSC-D-56_S27_L002_R1_001.fastq.gz	NKSC-D-56_S27_L002_R2_001.fastq.gz
NKSC	NKSC-D10_S35_L002	D10	NKSC-D10_S35_L002_R1_001.fastq.gz	NKSC-D10_S35_L002_R2_001.fastq.gz
NKSC	NKSC-D14_S34_L002	D14	NKSC-D14_S34_L002_R1_001.fastq.gz	NKSC-D14_S34_L002_R2_001.fastq.gz
NKSC	NKSC-D21_S33_L002	D21	NKSC-D21_S33_L002_R1_001.fastq.gz	NKSC-D21_S33_L002_R2_001.fastq.gz
NKSC	NKSC-D7_S26_L002	D7	NKSC-D7_S26_L002_R1_001.fastq.gz	NKSC-D7_S26_L002_R2_001.fastq.gz
NKSC	NKSC-D8_S25_L002	D8	NKSC-D8_S25_L002_R1_001.fastq.gz	NKSC-D8_S25_L002_R2_001.fastq.gz
NKSC	NKSC-D9_S24_L002	D9	NKSC-D9_S24_L002_R1_001.fastq.gz	NKSC-D9_S24_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-42_S20_L002	D-42	OHHQ-D-42_S20_L002_R1_001.fastq.gz	OHHQ-D-42_S20_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-49_S19_L002	D-49	OHHQ-D-49_S19_L002_R1_001.fastq.gz	OHHQ-D-49_S19_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-53_S18_L002	D-53	OHHQ-D-53_S18_L002_R1_001.fastq.gz	OHHQ-D-53_S18_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-54_S17_L002	D-54	OHHQ-D-54_S17_L002_R1_001.fastq.gz	OHHQ-D-54_S17_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-55_S16_L002	D-55	OHHQ-D-55_S16_L002_R1_001.fastq.gz	OHHQ-D-55_S16_L002_R2_001.fastq.gz
OHHQ	OHHQ-D-56_S15_L002	D-56	OHHQ-D-56_S15_L002_R1_001.fastq.gz	OHHQ-D-56_S15_L002_R2_001.fastq.gz
OHHQ	OHHQ-D10_S23_L002	D10	OHHQ-D10_S23_L002_R1_001.fastq.gz	OHHQ-D10_S23_L002_R2_001.fastq.gz
OHHQ	OHHQ-D14_S22_L002	D14	OHHQ-D14_S22_L002_R1_001.fastq.gz	OHHQ-D14_S22_L002_R2_001.fastq.gz
OHHQ	OHHQ-D21_S21_L002	D21	OHHQ-D21_S21_L002_R1_001.fastq.gz	OHHQ-D21_S21_L002_R2_001.fastq.gz
OHHQ	OHHQ-D7_S14_L002	D7	OHHQ-D7_S14_L002_R1_001.fastq.gz	OHHQ-D7_S14_L002_R2_001.fastq.gz
OHHQ	OHHQ-D8_S13_L002	D8	OHHQ-D8_S13_L002_R1_001.fastq.gz	OHHQ-D8_S13_L002_R2_001.fastq.gz
OHHQ	OHHQ-D9_S25_L004	D9	OHHQ-D9_S25_L004_R1_001.fastq.gz	OHHQ-D9_S25_L004_R2_001.fastq.gz
OLGC	OLGC-D-42_S9_L002	D-42	OLGC-D-42_S9_L002_R1_001.fastq.gz	OLGC-D-42_S9_L002_R2_001.fastq.gz
OLGC	OLGC-D-49_S8_L002	D-49	OLGC-D-49_S8_L002_R1_001.fastq.gz	OLGC-D-49_S8_L002_R2_001.fastq.gz
OLGC	OLGC-D-53_S7_L002	D-53	OLGC-D-53_S7_L002_R1_001.fastq.gz	OLGC-D-53_S7_L002_R2_001.fastq.gz
OLGC	OLGC-D-54_S6_L002	D-54	OLGC-D-54_S6_L002_R1_001.fastq.gz	OLGC-D-54_S6_L002_R2_001.fastq.gz
OLGC	OLGC-D-55_S5_L002	D-55	OLGC-D-55_S5_L002_R1_001.fastq.gz	OLGC-D-55_S5_L002_R2_001.fastq.gz
OLGC	OLGC-D-56_S4_L002	D-56	OLGC-D-56_S4_L002_R1_001.fastq.gz	OLGC-D-56_S4_L002_R2_001.fastq.gz
OLGC	OLGC-D10_S12_L002	D10	OLGC-D10_S12_L002_R1_001.fastq.gz	OLGC-D10_S12_L002_R2_001.fastq.gz
OLGC	OLGC-D14_S11_L002	D14	OLGC-D14_S11_L002_R1_001.fastq.gz	OLGC-D14_S11_L002_R2_001.fastq.gz
OLGC	OLGC-D21_S10_L002	D21	OLGC-D21_S10_L002_R1_001.fastq.gz	OLGC-D21_S10_L002_R2_001.fastq.gz
OLGC	OLGC-D7_S3_L002	D7	OLGC-D7_S3_L002_R1_001.fastq.gz	OLGC-D7_S3_L002_R2_001.fastq.gz
OLGC	OLGC-D8_S2_L002	D8	OLGC-D8_S2_L002_R1_001.fastq.gz	OLGC-D8_S2_L002_R2_001.fastq.gz
OLGC	OLGC-D9_S1_L002	D9	OLGC-D9_S1_L002_R1_001.fastq.gz	OLGC-D9_S1_L002_R2_001.fastq.gz
Prova	Prova-YEEM_S16_L004	Prova	Prova-YEEM_S16_L004_R1_001.fastq.gz	Prova-YEEM_S16_L004_R2_001.fastq.gz
QZQW	QZQW-D-42_S49_L002	D-42	QZQW-D-42_S49_L002_R1_001.fastq.gz	QZQW-D-42_S49_L002_R2_001.fastq.gz
QZQW	QZQW-D-49_S48_L002	D-49	QZQW-D-49_S48_L002_R1_001.fastq.gz	QZQW-D-49_S48_L002_R2_001.fastq.gz
QZQW	QZQW-D-53_S47_L002	D-53	QZQW-D-53_S47_L002_R1_001.fastq.gz	QZQW-D-53_S47_L002_R2_001.fastq.gz
QZQW	QZQW-D-54_S46_L002	D-54	QZQW-D-54_S46_L002_R1_001.fastq.gz	QZQW-D-54_S46_L002_R2_001.fastq.gz
QZQW	QZQW-D-55_S45_L002	D-55	QZQW-D-55_S45_L002_R1_001.fastq.gz	QZQW-D-55_S45_L002_R2_001.fastq.gz
